title,author,avg_rating,genre,price,currency,cover_url,link,cluster,pca_1,pca_2
Lord of the Flies,William Golding,3.7,Fiction,8.99,NAN,http://books.google.com/books/content?id=3KRdJZbAN_sC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/7624.Lord_of_the_Flies,0,-1.4246664428005458,1.3788451118493765
"Love Story (Love Story, #1)",Erich Segal,3.6,Unknown,8.99,NAN,http://books.google.com/books/content?id=eBgCAAAAQAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/73968.Love_Story,0,-1.7791567044072927,1.7333353734561223
Love You Forever,Robert Munsch,4.38,Juvenile Fiction,8.99,NAN,http://books.google.com/books/content?id=7ep09WAFbDwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/310259.Love_You_Forever,0,0.9858673361253302,-1.0316886670764918
Love in the Time of Cholera,Gabriel García Márquez,3.94,Fiction,8.99,NAN,http://books.google.com/books/content?id=E7iFBAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/9712.Love_in_the_Time_of_Cholera,0,-0.5738898149443546,0.5280684839931884
"Lover Avenged (Black Dagger Brotherhood, #7)",J.R. Ward,4.38,Fiction,8.44,EUR,http://books.google.com/books/content?id=fInunOcqa5kC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/5098079-lover-avenged,0,0.908656942459872,-1.1088990607419502
"Lover Awakened (Black Dagger Brotherhood, #3)",J.R. Ward,4.45,Fiction,8.99,NAN,http://books.google.com/books/content?id=__FNjgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/42900.Lover_Awakened,0,1.2340105192500537,-1.2798318502012147
"Lover Eternal (Black Dagger Brotherhood, #2)",J.R. Ward,4.35,Fiction,8.99,NAN,http://books.google.com/books/content?id=fAyjAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/35729.Lover_Eternal,0,0.8795202576433053,-0.9253415885944671
"Lover Mine (Black Dagger Brotherhood, #8)",J.R. Ward,4.41,Fiction,8.44,EUR,http://books.google.com/books/content?id=HPYLoLgJVKwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/7046495-lover-mine,0,1.0150040209418967,-1.2152461392239746
"Lover Revealed (Black Dagger Brotherhood, #4)",J.R. Ward,4.3,Black Dagger Brotherhood (Fictitious Characters),8.99,NAN,http://books.google.com/books/content?id=mt7BbwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/42898.Lover_Revealed,0,0.7022751268399328,-0.748096457791095
"Lover Unbound (Black Dagger Brotherhood, #5)",J.R. Ward,4.33,Fiction,8.44,EUR,http://books.google.com/books/content?id=w2496VwR1nIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/304027.Lover_Unbound,0,0.7314118116564995,-0.931653929938578
"Lucky Son of a Gun (The Demon Accords, #19)",John Conroe,4.11,Unknown,8.99,NAN,http://books.google.com/books/content?id=PfRi0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/203552477-lucky-son-of-a-gun,0,0.02874362978711589,-0.07456496073828037
Macbeth,William Shakespeare,3.88,Unknown,8.99,NAN,http://books.google.com/books/content?id=tfBSvgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/8852.Macbeth,0,-0.7865839719084028,0.7407626409572359
Madame Bovary,Gustave Flaubert,3.71,Fiction,8.99,NAN,http://books.google.com/books/content?id=5LlddZgi6iYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/2175.Madame_Bovary,0,-1.389217416639872,1.3433960856887028
"Magical Midlife Awakening (Leveling Up, #9)",K.F. Breene,4.11,Fiction,8.99,NAN,http://books.google.com/books/content?id=DJ6n0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/205840559-magical-midlife-awakening,0,0.02874362978711589,-0.07456496073828037
"Magician (The Riftwar Saga, #1-2)",Raymond E. Feist,4.32,Fiction,7.89,EUR,http://books.google.com/books/content?id=7notgaTVUFAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/43916.Magician,0,0.6187523918303673,-0.9734152974433625
Man's Search for Meaning,Viktor E. Frankl,4.37,"Holocaust, Jewish (1939-1945)",8.99,NAN,http://books.google.com/books/content?id=H8k4JLZu6AsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/4069.Man_s_Search_for_Meaning,0,0.9504183099646563,-0.9962396409158177
Mansfield Park,Jane Austen,3.86,Unknown,8.99,NAN,,https://www.goodreads.com/book/show/45032.Mansfield_Park,0,-0.8574820242297522,0.8116606932785849
"Marked (House of Night, #1)",P.C. Cast,3.82,Young Adult Fiction,10.83,EUR,http://books.google.com/books/content?id=z1k50JF7d3MC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/30183.Marked,0,-0.7409742664280093,1.2117606603657256
Marked by Magic (Tracking Trouble #1),Lindsay Buroker,4.11,Unknown,8.99,NAN,http://books.google.com/books/content?id=aGhI0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/201272400-marked-by-magic,0,0.02874362978711589,-0.07456496073828037
