title,author,avg_rating,genre,published_year,price,currency,cover_url,link
The Silent Patient,Alex Michaelides,4.113022312373225,Fiction,2019-02-05,0.99,EUR,http://books.google.com/books/content?id=a6NnDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/40097951-the-silent-patient
Requiem for a Dream,Hubert Selby Jr.,4.113022312373225,Fiction,2011-12-13,18.18,EUR,http://books.google.com/books/content?id=E2U-UTULr6cC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/46945.Requiem_for_a_Dream
"Voyager (Outlander, #3)",Diana Gabaldon,4.113022312373225,Fiction,2011-08-31,8.99,EUR,http://books.google.com/books/content?id=ir0JPoAauaUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/10987.Voyager
"City of Glass (The Mortal Instruments, #3)",Cassandra Clare,4.113022312373225,Juvenile Fiction,2015-09,,,http://books.google.com/books/content?id=Y_5wCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/3777732-city-of-glass
The Twilight Collection,Stephenie Meyer,4.113022312373225,Juvenile Fiction,2009-10-27,,,http://books.google.com/books/content?id=mKfDFa8r3pYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/690926.The_Twilight_Collection
"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,4.113022312373225,Young Adult Fiction,2012-02-15,,,http://books.google.com/books/content?id=12e8PJ2T7sQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/222910.The_Two_Towers
The Jungle,Upton Sinclair,4.113022312373225,Fiction,2016-04-20,9.09,EUR,http://books.google.com/books/content?id=kKM6DAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/41681.The_Jungle
"Lover Awakened (Black Dagger Brotherhood, #3)",J.R. Ward,4.113022312373225,Fiction,2006,,,http://books.google.com/books/content?id=__FNjgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/42900.Lover_Awakened
Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,4.113022312373225,Fiction,2002-05-21,,,http://books.google.com/books/content?id=5OqJGRyguSwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/137791.Divine_Secrets_of_the_Ya_Ya_Sisterhood
"Betrayed (House of Night, #2)",P.C. Cast,4.113022312373225,Young Adult Fiction,2007-10-02,10.83,EUR,http://books.google.com/books/content?id=_6GePgDGGK0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/676924.Betrayed
