title,author,avg_rating,genre,published_year,price,currency,cover_url,link
Jonathan Livingston Seagull,Richard Bach,3.86,Fiction,2014.0,,None,http://books.google.com/books/content?id=0lHRBAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/71728.Jonathan_Livingston_Seagull
Ulysses,James Joyce,3.76,Fiction,1998.0,,None,http://books.google.com/books/content?id=WVofz29Hx9UC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/338798.Ulysses
"Jurassic Park (Jurassic Park, #1)",Michael Crichton,4.13,Performing Arts,2024.0,,None,http://books.google.com/books/content?id=DuAsEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/40604658-jurassic-park
"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,3.67,Fiction,2022.0,9.99,EUR,http://books.google.com/books/content?id=egN2EAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/10818853-fifty-shades-of-grey
"Beloved (Beloved Trilogy, #1)",Toni Morrison,3.98,Fiction,2012.0,3.99,EUR,http://books.google.com/books/content?id=I8SCD9KZv2EC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/6149.Beloved
"The Lost Hero (The Heroes of Olympus, #1)",Rick Riordan,4.29,Juvenile Fiction,2014.0,,None,http://books.google.com/books/content?id=oqlszQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/7736182-the-lost-hero
"The Clan of the Cave Bear (Earth's Children, #1)",Jean M. Auel,4.1,Fiction,2011.0,,None,http://books.google.com/books/content?id=ASvHBAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/40611463-the-clan-of-the-cave-bear
A Farewell to Arms,Ernest Hemingway,3.82,Fiction,2014.0,13.84,EUR,http://books.google.com/books/content?id=Z-FSAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/10799.A_Farewell_to_Arms
The Canterbury Tales,Geoffrey Chaucer,3.52,Poetry,1977.0,,None,http://books.google.com/books/content?id=QhHq4vgVgU0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/2696.The_Canterbury_Tales
David Copperfield,Charles Dickens,4.04,Fiction,2025.0,,None,http://books.google.com/books/content?id=7O1ZEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/58696.David_Copperfield
A Little Princess,Frances Hodgson Burnett,4.23,Fiction,2014.0,,None,http://books.google.com/books/content?id=JhO8AwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/3008.A_Little_Princess
"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,4.12,Juvenile Fiction,2012.0,8.99,EUR,http://books.google.com/books/content?id=AwWIIQPRkGAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/36381037-cinder
The World According to Garp,John Irving,4.11,Fiction,1981.0,,None,http://books.google.com/books/content?id=icBO1tb76DsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/7069.The_World_According_to_Garp
Thirteen Reasons Why,Jay Asher,3.84,Young Adult Fiction,2016.0,10.11,EUR,http://books.google.com/books/content?id=3tFQDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/29844228-thirteen-reasons-why
The Iliad / The Odyssey,Homer,4.07,Poetry,2020.0,3.99,EUR,http://books.google.com/books/content?id=b0gAEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/1375.The_Iliad_The_Odyssey
His Dark Materials (His Dark Materials #1-3),Philip Pullman,4.29,Juvenile Fiction,2007.0,,None,http://books.google.com/books/content?id=SMgrAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/18116.His_Dark_Materials
The Silmarillion,J.R.R. Tolkien,4.03,Fiction,2011.0,6.99,EUR,http://books.google.com/books/content?id=05Cj67qkoaoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/7332.The_Silmarillion
"Howl’s Moving Castle (Howl’s Moving Castle, #1)",Diana Wynne Jones,4.29,Juvenile Fiction,2012.0,5.49,EUR,http://books.google.com/books/content?id=WxPDPOCF2_cC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/6294.Howl_s_Moving_Castle
"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",Gregory Maguire,3.51,Fiction,2009.0,5.09,EUR,http://books.google.com/books/content?id=ycOjhHsqTwQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/37442.Wicked
The Trial,Franz Kafka,3.94,Fiction,2012.0,7.07,EUR,http://books.google.com/books/content?id=ac58euQ72lIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/17690.The_Trial
"Shōgun (Asian Saga, #1)",James Clavell,4.41,Fiction,2018.0,,None,http://books.google.com/books/content?id=2wNuDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/52382796-sh-gun
Schindler’s List,Thomas Keneally,4.34,Fiction,2020.0,,None,http://books.google.com/books/content?id=Yfj1DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/375013.Schindler_s_List
"Clockwork Prince (The Infernal Devices, #2)",Cassandra Clare,4.42,Young Adult Fiction,2013.0,32.63,EUR,http://books.google.com/books/content?id=-fHTJV9mAnEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/10025305-clockwork-prince
