title,author,avg_rating,genre,price,currency,cover_url,link
A People’s History of the United States: 1492 - Present,Howard Zinn,4.11,History,,NAN,http://books.google.com/books/content?id=F3c_Ujq4l2oC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/2767.A_People_s_History_of_the_United_States
A Portrait of the Artist as a Young Man,James Joyce,3.64,Fiction,,NAN,http://books.google.com/books/content?id=C_rPXanc_HAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/7588.A_Portrait_of_the_Artist_as_a_Young_Man
A Prayer for Owen Meany,John Irving,4.24,Fiction,,NAN,http://books.google.com/books/content?id=lNtaAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/4473.A_Prayer_for_Owen_Meany
A Room of One’s Own,Virginia Woolf,4.11,Literary Criticism,9.57,EUR,http://books.google.com/books/content?id=858oEyeN1N8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/18521.A_Room_of_One_s_Own
A Room with a View,E.M. Forster,4.11,Nan,,NAN,,https://www.goodreads.com/book/show/3087.A_Room_with_a_View
A Separate Peace,John Knowles,3.6,Drama,,NAN,http://books.google.com/books/content?id=oepv15kpMMIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/5148.A_Separate_Peace
A Short History of Nearly Everything,Bill Bryson,4.22,Large Print Books,,NAN,http://books.google.com/books/content?id=SYmUPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/21.A_Short_History_of_Nearly_Everything
A Simple Plan,Scott        Smith,4.11,Nan,,NAN,,https://www.goodreads.com/book/show/21727.A_Simple_Plan
"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,4.55,Fiction,6.99,EUR,http://books.google.com/books/content?id=t1RrxL_sI70C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/62291.A_Storm_of_Swords
A Story of Yesterday,Sergio Cobo,4.53,Nan,,NAN,,https://www.goodreads.com/book/show/58913358-a-story-of-yesterday
A Streetcar Named Desire,Tennessee Williams,3.98,Drama,11.3,EUR,http://books.google.com/books/content?id=hKadEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/12220.A_Streetcar_Named_Desire
A Tale of Two Cities,Charles Dickens,3.88,English Literature,,NAN,http://books.google.com/books/content?id=YqfPAAAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/1953.A_Tale_of_Two_Cities
A Thousand Splendid Suns,Khaled Hosseini,4.45,Fiction,,NAN,http://books.google.com/books/content?id=3vo0NQbIN2YC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/128029.A_Thousand_Splendid_Suns
"A Time to Kill (Jake Brigance, #1)",John Grisham,4.12,Fiction,8.99,EUR,http://books.google.com/books/content?id=Xp39K0c0IaEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/32542.A_Time_to_Kill
A Tree Grows in Brooklyn,Betty  Smith,4.3,Fiction,8.99,EUR,http://books.google.com/books/content?id=jalsLkb1GTUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/14891.A_Tree_Grows_in_Brooklyn
A Walk in the Woods: Rediscovering America on the Appalachian Trail,Bill Bryson,4.11,Nature,,NAN,http://books.google.com/books/content?id=Z3uajyR0zFgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/9791.A_Walk_in_the_Woods
A Walk to Remember,Nicholas Sparks,4.2,High School Students,,NAN,http://books.google.com/books/content?id=yIz_zgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/35545737-a-walk-to-remember
A Winter Grave,Peter  May,4.11,Fiction,13.99,EUR,http://books.google.com/books/content?id=uph0EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/67998095-a-winter-grave
"A Wizard of Earthsea (Earthsea Cycle, #1)",Ursula K. Le Guin,4.11,Juvenile Fiction,,NAN,http://books.google.com/books/content?id=FD72ekYZqIkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/13642.A_Wizard_of_Earthsea
"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,3.97,Juvenile Fiction,6.95,EUR,http://books.google.com/books/content?id=r119-dYq0mwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/33574273-a-wrinkle-in-time
"A ​Court of Silver Flames (A Court of Thorns and Roses, #4)",Sarah J. Maas,4.11,Fiction,11.3,EUR,http://books.google.com/books/content?id=97FmEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/53138095-a-court-of-silver-flames
"Acheron (Dark-Hunter, #14)",Sherrilyn Kenyon,4.11,Comics & Graphic Novels,,NAN,http://books.google.com/books/content?id=ZdAkvgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/2299110.Acheron
"Alanna: The First Adventure (Song of the Lioness, #1)",Tamora Pierce,4.11,Fiction,,NAN,http://books.google.com/books/content?id=DEJHDgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/13831.Alanna
Alice in Wonderland,Jane Carruth,4.03,Nan,,NAN,,https://www.goodreads.com/book/show/13023.Alice_in_Wonderland
Alice’s Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,4.06,Fiction,7.13,EUR,http://books.google.com/books/content?id=JiiQDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass
"All Creatures Great and Small (All Creatures Great and Small, #1-2)",James Herriot,4.35,Nan,,NAN,http://books.google.com/books/content?id=Y_YBeZ8s0-0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/32085.All_Creatures_Great_and_Small
All Quiet on the Western Front,Erich Maria Remarque,4.11,Juvenile Nonfiction,,NAN,http://books.google.com/books/content?id=Ubk7YzNZGQUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/355697.All_Quiet_on_the_Western_Front
All the Bright Places,Jennifer Niven,4.11,Young Adult Fiction,8.99,EUR,http://books.google.com/books/content?id=qxX8AwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/18460392-all-the-bright-places
All the King's Men,Robert Penn Warren,4.11,Fiction,,NAN,http://books.google.com/books/content?id=QRO0ie4ZX6oC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/5527.All_the_King_s_Men
All the Light We Cannot See,Anthony Doerr,4.31,Fiction,,NAN,http://books.google.com/books/content?id=_AZ_AwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/18143977-all-the-light-we-cannot-see
"Allegiant (Divergent, #3)",Veronica Roth,3.6,Young Adult Fiction,5.49,EUR,http://books.google.com/books/content?id=v5MH3ER4SWEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/18710190-allegiant
"American Gods: Tenth Anniversary (American Gods, #1)",Neil Gaiman,4.1,Fiction,5.39,EUR,http://books.google.com/books/content?id=ryCGrxr7z98C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/30165203-american-gods
American Psycho,Bret Easton Ellis,3.8,Horror Fiction,,NAN,http://books.google.com/books/content?id=cF51tQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/28676.American_Psycho
American Tabloid (Underworld USA #1),James Ellroy,4.11,Nan,,NAN,http://books.google.com/books/content?id=5PAbvgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/36064.American_Tabloid
An Abundance of Katherines,John Green,4.11,Young Adult Fiction,,NAN,http://books.google.com/books/content?id=3O40B12Q4xoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/49750.An_Abundance_of_Katherines
"An Ember in the Ashes (An Ember in the Ashes, #1)",Sabaa Tahir,4.11,Young Adult Fiction,12.99,EUR,http://books.google.com/books/content?id=54IuEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/27774758-an-ember-in-the-ashes
And Then There Were None,Agatha Christie,4.27,Fiction,3.74,EUR,http://books.google.com/books/content?id=gAD4EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/16299.And_Then_There_Were_None
"Angela’s Ashes (Frank McCourt, #1)",Frank McCourt,4.15,Biography & Autobiography,,NAN,http://books.google.com/books/content?id=MIzkBgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/252577.Angela_s_Ashes
