title,author,avg_rating,genre,cover_url,link
The Age of Innocence,Edith Wharton,,Juvenile Fiction,http://books.google.com/books/content?id=8iXZCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/53835.The_Age_of_Innocence
"Angels & Demons (Robert Langdon, #1)",Dan    Brown,,Biography & Autobiography,http://books.google.com/books/content?id=SdcvT6brS04C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/960.Angels_Demons
The Republic,Plato,,Philosophy,http://books.google.com/books/content?id=I7lhPhT3K2sC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/30289.The_Republic
"The Queen of Nothing (The Folk of the Air, #3)",Holly Black,,,,https://www.goodreads.com/book/show/26032912-the-queen-of-nothing
"The Bad Beginning (A Series of Unfortunate Events, #1)",Lemony Snicket,,Juvenile Fiction,http://books.google.com/books/content?id=sUtrdMJvFXAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/78411.The_Bad_Beginning
The Waste Land,T.S. Eliot,,Poetry,http://books.google.com/books/content?id=-OEsEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/34080.The_Waste_Land
The Silent Patient,Alex Michaelides,,Fiction,http://books.google.com/books/content?id=a6NnDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/40097951-the-silent-patient
"Voyager (Outlander, #3)",Diana Gabaldon,,Fiction,http://books.google.com/books/content?id=ir0JPoAauaUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/10987.Voyager
"Sheever's Journal, Diary of a Poison Master",K.  Ritz,,Fiction,http://books.google.com/books/content?id=VdiZDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/52022378-sheever-s-journal-diary-of-a-poison-master
"City of Glass (The Mortal Instruments, #3)",Cassandra Clare,,Juvenile Fiction,http://books.google.com/books/content?id=Y_5wCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/3777732-city-of-glass
The Twilight Collection,Stephenie Meyer,,Juvenile Fiction,http://books.google.com/books/content?id=mKfDFa8r3pYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/690926.The_Twilight_Collection
The Jungle,Upton Sinclair,,Fiction,http://books.google.com/books/content?id=kKM6DAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/41681.The_Jungle
"Lover Awakened (Black Dagger Brotherhood, #3)",J.R. Ward,,Fiction,http://books.google.com/books/content?id=__FNjgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/42900.Lover_Awakened
Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,,Fiction,http://books.google.com/books/content?id=5OqJGRyguSwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/137791.Divine_Secrets_of_the_Ya_Ya_Sisterhood
"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,,Young Adult Fiction,http://books.google.com/books/content?id=12e8PJ2T7sQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/222910.The_Two_Towers
"Betrayed (House of Night, #2)",P.C. Cast,,Young Adult Fiction,http://books.google.com/books/content?id=_6GePgDGGK0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/676924.Betrayed
Me Talk Pretty One Day,David Sedaris,,Humor,http://books.google.com/books/content?id=MPNS0j-kGwcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/4137.Me_Talk_Pretty_One_Day
Requiem for a Dream,Hubert Selby Jr.,,Fiction,http://books.google.com/books/content?id=E2U-UTULr6cC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/46945.Requiem_for_a_Dream
The Pearl,John Steinbeck,,Juvenile Fiction,http://books.google.com/books/content?id=pZsTwnJddU8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/5308.The_Pearl
Snow Falling on Cedars,David Guterson,,Foreign Language Study,http://books.google.com/books/content?id=ogoXJgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/77142.Snow_Falling_on_Cedars
"The Last Battle (Chronicles of Narnia, #7)",C.S. Lewis,,Juvenile Fiction,http://books.google.com/books/content?id=1U0oDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/84369.The_Last_Battle
Sense and Sensibility,Jane Austen,,,http://books.google.com/books/content?id=bcUNAAAAQAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/14935.Sense_and_Sensibility
"Untamed (House of Night, #4)",P.C. Cast,,Young Adult Fiction,http://books.google.com/books/content?id=8XXemE3SAJ4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/2866718-untamed
"I, Claudius (Claudius, #1)",Robert Graves,,Fiction,http://books.google.com/books/content?id=ZqsaAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/18765.I_Claudius
"The Exorcist (The Exorcist, #1)",William Peter Blatty,,Fiction,http://books.google.com/books/content?id=b1JMJphpm68C&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/179780.The_Exorcist
