title,author,avg_rating,genre,published_year,price,currency,cover_url,link,published_year,genre,cover_url
"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,,Unknown,,8.99,,,https://www.goodreads.com/book/show/10664113-a-dance-with-dragons,2011-07-12,Fiction,http://books.google.com/books/content?id=7Q4R3RHe8AQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Reader,Bernhard Schlink,,Unknown,,8.99,,,https://www.goodreads.com/book/show/101299.The_Reader,2001-05-01,Fiction,http://books.google.com/books/content?id=2JYJicwT84cC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"The Lost Symbol (Robert Langdon, #3)",Dan    Brown,,Unknown,,8.99,,,https://www.goodreads.com/book/show/6411961-the-lost-symbol,2009-09-15,Fiction,http://books.google.com/books/content?id=s8l5ApOH2CwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Collector,John Fowles,,Unknown,,8.99,,,https://www.goodreads.com/book/show/243705.The_Collector,1963,Fiction,http://books.google.com/books/content?id=ycDcsbsurcwC&printsec=frontcover&img=1&zoom=1&source=gbs_api
"The Wicked King (The Folk of the Air, #2)",Holly Black,,Unknown,,8.99,,,https://www.goodreads.com/book/show/26032887-the-wicked-king,,,
Dubliners,James Joyce,,Unknown,,8.99,,,https://www.goodreads.com/book/show/11012.Dubliners,2000,Fiction,http://books.google.com/books/content?id=WkqR7nM198QC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Age of Innocence,Edith Wharton,,Unknown,,8.99,,,https://www.goodreads.com/book/show/53835.The_Age_of_Innocence,2015-11-03,Juvenile Fiction,http://books.google.com/books/content?id=8iXZCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"Angels & Demons (Robert Langdon, #1)",Dan    Brown,,Unknown,,8.99,,,https://www.goodreads.com/book/show/960.Angels_Demons,2012-04-05,Biography & Autobiography,http://books.google.com/books/content?id=SdcvT6brS04C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Republic,Plato,,Unknown,,8.99,,,https://www.goodreads.com/book/show/30289.The_Republic,2007-05-31,Philosophy,http://books.google.com/books/content?id=I7lhPhT3K2sC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"The Queen of Nothing (The Folk of the Air, #3)",Holly Black,,Unknown,,8.99,,,https://www.goodreads.com/book/show/26032912-the-queen-of-nothing,,,
"The Bad Beginning (A Series of Unfortunate Events, #1)",Lemony Snicket,,Unknown,,8.99,,,https://www.goodreads.com/book/show/78411.The_Bad_Beginning,2009-03-17,Juvenile Fiction,http://books.google.com/books/content?id=sUtrdMJvFXAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Waste Land,T.S. Eliot,,Unknown,,8.99,,,https://www.goodreads.com/book/show/34080.The_Waste_Land,2021-02-16,Poetry,http://books.google.com/books/content?id=-OEsEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
"Sheever's Journal, Diary of a Poison Master",K.  Ritz,,Unknown,,8.99,,,https://www.goodreads.com/book/show/52022378-sheever-s-journal-diary-of-a-poison-master,2019-04-26,Fiction,http://books.google.com/books/content?id=VdiZDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Silent Patient,Alex Michaelides,,Unknown,,8.99,,,https://www.goodreads.com/book/show/40097951-the-silent-patient,2019-02-05,Fiction,http://books.google.com/books/content?id=a6NnDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Requiem for a Dream,Hubert Selby Jr.,,Unknown,,8.99,,,https://www.goodreads.com/book/show/46945.Requiem_for_a_Dream,2011-12-13,Fiction,http://books.google.com/books/content?id=E2U-UTULr6cC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"Voyager (Outlander, #3)",Diana Gabaldon,,Unknown,,8.99,,,https://www.goodreads.com/book/show/10987.Voyager,2011-08-31,Fiction,http://books.google.com/books/content?id=ir0JPoAauaUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"City of Glass (The Mortal Instruments, #3)",Cassandra Clare,,Unknown,,8.99,,,https://www.goodreads.com/book/show/3777732-city-of-glass,2015-09,Juvenile Fiction,http://books.google.com/books/content?id=Y_5wCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Twilight Collection,Stephenie Meyer,,Unknown,,8.99,,,https://www.goodreads.com/book/show/690926.The_Twilight_Collection,2009-10-27,Juvenile Fiction,http://books.google.com/books/content?id=mKfDFa8r3pYC&printsec=frontcover&img=1&zoom=1&source=gbs_api
"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,,Unknown,,8.99,,,https://www.goodreads.com/book/show/222910.The_Two_Towers,2012-02-15,Young Adult Fiction,http://books.google.com/books/content?id=12e8PJ2T7sQC&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Jungle,Upton Sinclair,,Unknown,,8.99,,,https://www.goodreads.com/book/show/41681.The_Jungle,2016-04-20,Fiction,http://books.google.com/books/content?id=kKM6DAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"Lover Awakened (Black Dagger Brotherhood, #3)",J.R. Ward,,Unknown,,8.99,,,https://www.goodreads.com/book/show/42900.Lover_Awakened,2006,Fiction,http://books.google.com/books/content?id=__FNjgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,,Unknown,,8.99,,,https://www.goodreads.com/book/show/137791.Divine_Secrets_of_the_Ya_Ya_Sisterhood,2002-05-21,Fiction,http://books.google.com/books/content?id=5OqJGRyguSwC&printsec=frontcover&img=1&zoom=1&source=gbs_api
"Betrayed (House of Night, #2)",P.C. Cast,,Unknown,,8.99,,,https://www.goodreads.com/book/show/676924.Betrayed,2007-10-02,Young Adult Fiction,http://books.google.com/books/content?id=_6GePgDGGK0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Me Talk Pretty One Day,David Sedaris,,Unknown,,8.99,,,https://www.goodreads.com/book/show/4137.Me_Talk_Pretty_One_Day,2010-08-05,Humor,http://books.google.com/books/content?id=MPNS0j-kGwcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Pearl,John Steinbeck,,Unknown,,8.99,,,https://www.goodreads.com/book/show/5308.The_Pearl,2011-03-03,Juvenile Fiction,http://books.google.com/books/content?id=pZsTwnJddU8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Sense and Sensibility,Jane Austen,,Unknown,,8.99,,,https://www.goodreads.com/book/show/14935.Sense_and_Sensibility,1833,,http://books.google.com/books/content?id=bcUNAAAAQAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Snow Falling on Cedars,David Guterson,,Unknown,,8.99,,,https://www.goodreads.com/book/show/77142.Snow_Falling_on_Cedars,2008,Foreign Language Study,http://books.google.com/books/content?id=ogoXJgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
"The Last Battle (Chronicles of Narnia, #7)",C.S. Lewis,,Unknown,,8.99,,,https://www.goodreads.com/book/show/84369.The_Last_Battle,2016-08-12,Juvenile Fiction,http://books.google.com/books/content?id=1U0oDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"Untamed (House of Night, #4)",P.C. Cast,,Unknown,,8.99,,,https://www.goodreads.com/book/show/2866718-untamed,2010-04-01,Young Adult Fiction,http://books.google.com/books/content?id=8XXemE3SAJ4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"I, Claudius (Claudius, #1)",Robert Graves,,Unknown,,8.99,,,https://www.goodreads.com/book/show/18765.I_Claudius,2019-02-12,Fiction,http://books.google.com/books/content?id=ZqsaAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"The Exorcist (The Exorcist, #1)",William Peter Blatty,,Unknown,,8.99,,,https://www.goodreads.com/book/show/179780.The_Exorcist,2007,Fiction,http://books.google.com/books/content?id=b1JMJphpm68C&printsec=frontcover&img=1&zoom=1&source=gbs_api
Less Than Zero,Bret Easton Ellis,,Unknown,,8.99,,,https://www.goodreads.com/book/show/9915.Less_Than_Zero,2019-03-07,Fiction,http://books.google.com/books/content?id=W8ZtDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"The Elite (The Selection, #2)",Kiera Cass,,Unknown,,8.99,,,https://www.goodreads.com/book/show/16248068-the-elite,2013-04-23,Young Adult Fiction,http://books.google.com/books/content?id=tBSvP-Aa4GUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"Words of Radiance (The Stormlight Archive, #2)",Brandon Sanderson,,Unknown,,8.99,,,https://www.goodreads.com/book/show/17332218-words-of-radiance,2014-03-06,Fiction,http://books.google.com/books/content?id=dTUAAQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Beach,Alex Garland,,Unknown,,8.99,,,https://www.goodreads.com/book/show/607639.The_Beach,2005-07-05,Fiction,http://books.google.com/books/content?id=cZWZ_Scx7u8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"Girl, Interrupted",Susanna Kaysen,,Unknown,,8.99,,,https://www.goodreads.com/book/show/68783.Girl_Interrupted,2013-06-19,Biography & Autobiography,http://books.google.com/books/content?id=N4mdjv3tnNQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Everything is Illuminated,Jonathan Safran Foer,,Unknown,,8.99,,,https://www.goodreads.com/book/show/256566.Everything_is_Illuminated,2003-06-05,Fiction,http://books.google.com/books/content?id=We4BgImVepgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"Unravel Me (Shatter Me, #2)",Tahereh Mafi,,Unknown,,8.99,,,https://www.goodreads.com/book/show/13104080-unravel-me,2023,,
A Room with a View,E.M. Forster,,Unknown,,8.99,,,https://www.goodreads.com/book/show/3087.A_Room_with_a_View,2023,,
"The 5th Wave (The 5th Wave, #1)",Rick Yancey,,Unknown,,8.99,,,https://www.goodreads.com/book/show/16101128-the-5th-wave,2018-11-06,Young Adult Fiction,http://books.google.com/books/content?id=kQ5zDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
World War Z: An Oral History of the Zombie War,Max Brooks,,Unknown,,8.99,,,https://www.goodreads.com/book/show/8908.World_War_Z,2006-09-12,Fiction,http://books.google.com/books/content?id=X4Z-6_UjUK8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The War of the Worlds,H.G. Wells,,Unknown,,8.99,,,https://www.goodreads.com/book/show/8909.The_War_of_the_Worlds,1953,,
"A ​Court of Silver Flames (A Court of Thorns and Roses, #4)",Sarah J. Maas,,Unknown,,8.99,,,https://www.goodreads.com/book/show/53138095-a-court-of-silver-flames,2021-02-16,Fiction,http://books.google.com/books/content?id=97FmEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"A Discovery of Witches (All Souls, #1)",Deborah Harkness,,Unknown,,8.99,,,https://www.goodreads.com/book/show/8667848-a-discovery-of-witches,2018-05-08,Fiction,http://books.google.com/books/content?id=POQxDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Macbeth,William Shakespeare,,Unknown,,8.99,,,https://www.goodreads.com/book/show/8852.Macbeth,2016-09-21,,http://books.google.com/books/content?id=tfBSvgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Bleak House,Charles Dickens,,Unknown,,8.99,,,https://www.goodreads.com/book/show/31242.Bleak_House,2025-04-29,Fiction,http://books.google.com/books/content?id=uBpaEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"Chosen (House of Night, #3)",P.C. Cast,,Unknown,,8.99,,,https://www.goodreads.com/book/show/1326258.Chosen,2009-02-26,Juvenile Fiction,http://books.google.com/books/content?id=Gjvj7-ZfW_EC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"The Talented Mr. Ripley (Ripley, #1)",Patricia Highsmith,,Unknown,,8.99,,,https://www.goodreads.com/book/show/2247142.The_Talented_Mr_Ripley,1992,Fiction,http://books.google.com/books/content?id=PAS-6ssTwD8C&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Woman in White,Wilkie Collins,,Unknown,,8.99,,,https://www.goodreads.com/book/show/5890.The_Woman_in_White,1991-10-15,Fiction,http://books.google.com/books/content?id=BW1aAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Crash,J.G. Ballard,,Unknown,,8.99,,,https://www.goodreads.com/book/show/70241.Crash,1975,Fiction,http://books.google.com/books/content?id=y9lXAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Complete Poems of Emily Dickinson,Emily Dickinson,,Unknown,,8.99,,,https://www.goodreads.com/book/show/112204.The_Complete_Poems_of_Emily_Dickinson,2021-11-15,Young Adult Nonfiction,http://books.google.com/books/content?id=HwFMEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"Unwind (Unwind, #1)",Neal Shusterman,,Unknown,,8.99,,,https://www.goodreads.com/book/show/764347.Unwind,2009-08-01,Juvenile Fiction,http://books.google.com/books/content?id=DcqpjkJSo5kC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
انتحار فاشل,أحمد جمال الدين رمضان,,Unknown,,8.99,,,https://www.goodreads.com/book/show/30528535,,,
North and South,Elizabeth Gaskell,,Unknown,,8.99,,,https://www.goodreads.com/book/show/156538.North_and_South,2022-09-04,Fiction,http://books.google.com/books/content?id=gGaIEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Brideshead Revisited,Evelyn Waugh,,Unknown,,8.99,,,https://www.goodreads.com/book/show/30933.Brideshead_Revisited,2012-12-11,Fiction,http://books.google.com/books/content?id=6o5cDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"Shadow and Bone (Shadow and Bone, #1)",Leigh Bardugo,,Unknown,,8.99,,,https://www.goodreads.com/book/show/10194157-shadow-and-bone,2012-06-05,Young Adult Fiction,http://books.google.com/books/content?id=Mam8PZhfDCkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Ugly Love,Colleen Hoover,,Unknown,,8.99,,,https://www.goodreads.com/book/show/17788401-ugly-love,2014-08-05,Fiction,http://books.google.com/books/content?id=QF1GAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Those Empty Eyes,Charlie Donlea,,Unknown,,8.99,,,https://www.goodreads.com/book/show/62984900-those-empty-eyes,2023-05-04,Fiction,http://books.google.com/books/content?id=z_6pEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The God Delusion,Richard Dawkins,,Unknown,,8.99,,,https://www.goodreads.com/book/show/14743.The_God_Delusion,2009-09-22,Religion,http://books.google.com/books/content?id=grccDzrTWLUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"Empire of Storms (Throne of Glass, #5)",Sarah J. Maas,,Unknown,,8.99,,,https://www.goodreads.com/book/show/28260587-empire-of-storms,2020-10-01,Fiction,http://books.google.com/books/content?id=dMwAEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"The Lies of Locke Lamora (Gentleman Bastard, #1)",Scott Lynch,,Unknown,,8.99,,,https://www.goodreads.com/book/show/29588376-the-lies-of-locke-lamora,2006-06-27,Fiction,http://books.google.com/books/content?id=dG8disouIykC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
