title,author,rating,link,cover_url,genre,price,published_year
"Chosen (House of Night, #3)",P.C. Cast,3.91 avg rating,https://www.goodreads.com/book/show/1326258.Chosen,,,,
"The Talented Mr. Ripley (Ripley, #1)",Patricia Highsmith,3.95 avg rating,https://www.goodreads.com/book/show/2247142.The_Talented_Mr_Ripley,,,,
The Woman in White,Wilkie Collins,4.01 avg rating,https://www.goodreads.com/book/show/5890.The_Woman_in_White,,,,
Crash,J.G. Ballard,3.60 avg rating,https://www.goodreads.com/book/show/70241.Crash,,,,
The Complete Poems of Emily Dickinson,Emily Dickinson,4.28 avg rating,https://www.goodreads.com/book/show/112204.The_Complete_Poems_of_Emily_Dickinson,,,,
"Unwind (Unwind, #1)",Neal Shusterman,4.17 avg rating,https://www.goodreads.com/book/show/764347.Unwind,,,,
انتحار فاشل,أحمد جمال الدين رمضان,4.54 avg rating,https://www.goodreads.com/book/show/30528535,,,,
North and South,Elizabeth Gaskell,4.15 avg rating,https://www.goodreads.com/book/show/156538.North_and_South,,,,
Brideshead Revisited,Evelyn Waugh,really liked it 4.00 avg rating,https://www.goodreads.com/book/show/30933.Brideshead_Revisited,,,,
"Shadow and Bone (Shadow and Bone, #1)",Leigh Bardugo,3.92 avg rating,https://www.goodreads.com/book/show/10194157-shadow-and-bone,,,,
Ugly Love,Colleen Hoover,really liked it 4.00 avg rating,https://www.goodreads.com/book/show/17788401-ugly-love,,,,
Those Empty Eyes,Charlie Donlea,4.15 avg rating,https://www.goodreads.com/book/show/62984900-those-empty-eyes,,,,
The God Delusion,Richard Dawkins,3.90 avg rating,https://www.goodreads.com/book/show/14743.The_God_Delusion,,,,
"Empire of Storms (Throne of Glass, #5)",Sarah J. Maas,4.63 avg rating,https://www.goodreads.com/book/show/28260587-empire-of-storms,,,,
"The Lies of Locke Lamora (Gentleman Bastard, #1)",Scott Lynch,4.30 avg rating,https://www.goodreads.com/book/show/29588376-the-lies-of-locke-lamora,,,,
"2001: A Space Odyssey (Space Odyssey, #1)",Arthur C. Clarke,4.18 avg rating,https://www.goodreads.com/book/show/70535.2001,,,,
العصبي,أحمد جمال الدين رمضان,4.59 avg rating,https://www.goodreads.com/book/show/30528544,,,,
The Left Hand of Darkness,Ursula K. Le Guin,4.10 avg rating,https://www.goodreads.com/book/show/18423.The_Left_Hand_of_Darkness,,,,
"The Iron King (The Iron Fey, #1)",Julie Kagawa,3.87 avg rating,https://www.goodreads.com/book/show/6644117-the-iron-king,,,,
Of Human Bondage,W. Somerset Maugham,4.15 avg rating,https://www.goodreads.com/book/show/31548.Of_Human_Bondage,,,,
"Call Me By Your Name (Call Me By Your Name, #1)",André Aciman,4.10 avg rating,https://www.goodreads.com/book/show/36336078-call-me-by-your-name,,,,
Snow Crash,Neal Stephenson,4.01 avg rating,https://www.goodreads.com/book/show/40651883-snow-crash,,,,
"Heartstopper: Volume One (Heartstopper, #1)",Alice Oseman,4.42 avg rating,https://www.goodreads.com/book/show/40495957-heartstopper,,,,
"Bloodlines (Bloodlines, #1)",Richelle Mead,4.20 avg rating,https://www.goodreads.com/book/show/8709527-bloodlines,,,,
"The Witching Hour (Lives of the Mayfair Witches, #1)",Anne Rice,4.10 avg rating,https://www.goodreads.com/book/show/11901.The_Witching_Hour,,,,
Vanity Fair,William Makepeace Thackeray,3.81 avg rating,https://www.goodreads.com/book/show/5797.Vanity_Fair,,,,
"Wizard's First Rule (Sword of Truth, #1)",Terry Goodkind,4.12 avg rating,https://www.goodreads.com/book/show/43889.Wizard_s_First_Rule,,,,
The Love Hypothesis,Ali Hazelwood,4.10 avg rating,https://www.goodreads.com/book/show/56732449-the-love-hypothesis,,,,
Much Ado About Nothing,William Shakespeare,4.06 avg rating,https://www.goodreads.com/book/show/12957.Much_Ado_About_Nothing,,,,
Far From the Madding Crowd,Thomas Hardy,3.97 avg rating,https://www.goodreads.com/book/show/31463.Far_From_the_Madding_Crowd,,,,
Johnny Got His Gun,Dalton Trumbo,4.21 avg rating,https://www.goodreads.com/book/show/51606.Johnny_Got_His_Gun,,,,
A Monster Calls,Patrick Ness,4.35 avg rating,https://www.goodreads.com/book/show/25480342-a-monster-calls,,,,
Daisy Jones & The Six,Taylor Jenkins Reid,4.20 avg rating,https://www.goodreads.com/book/show/40597810-daisy-jones-the-six,,,,
Verity,Colleen Hoover,4.30 avg rating,https://www.goodreads.com/book/show/59344312-verity,,,,
"Hyperion (Hyperion Cantos, #1)",Dan Simmons,4.27 avg rating,https://www.goodreads.com/book/show/77566.Hyperion,,,,
"Little House on the Prairie (Little House, #3)",Laura Ingalls Wilder,4.21 avg rating,https://www.goodreads.com/book/show/77767.Little_House_on_the_Prairie,,,,
A Man Called Ove,Fredrik Backman,4.38 avg rating,https://www.goodreads.com/book/show/18774964-a-man-called-ove,,,,
"Cannery Row (Cannery Row, #1)",John Steinbeck,4.06 avg rating,https://www.goodreads.com/book/show/4799.Cannery_Row,,,,
"Darkly Dreaming Dexter (Dexter, #1)",Jeff Lindsay,3.90 avg rating,https://www.goodreads.com/book/show/17231.Darkly_Dreaming_Dexter,,,,
"Caraval (Caraval, #1)",Stephanie Garber,3.97 avg rating,https://www.goodreads.com/book/show/27883214-caraval,,,,
"Anne of Avonlea (Anne of Green Gables, #2)",L.M. Montgomery,4.23 avg rating,https://www.goodreads.com/book/show/77390.Anne_of_Avonlea,,,,
"The Red Pyramid (The Kane Chronicles, #1)",Rick Riordan,4.10 avg rating,https://www.goodreads.com/book/show/7090447-the-red-pyramid,,,,
"Bared to You (Crossfire, #1)",Sylvia Day,4.13 avg rating,https://www.goodreads.com/book/show/20448515-bared-to-you,,,,
What Lies in the Woods,Kate Alice Marshall,3.94 avg rating,https://www.goodreads.com/book/show/60784373-what-lies-in-the-woods,,,,
"They Both Die at the End (They Both Die at the End, #1)",Adam Silvera,3.75 avg rating,https://www.goodreads.com/book/show/33385229-they-both-die-at-the-end,,,,
"Cress (The Lunar Chronicles, #3)",Marissa Meyer,4.40 avg rating,https://www.goodreads.com/book/show/13206828-cress,,,,
