title,price,currency
Cryptonomicon,8.99,EUR
Jude the Obscure,,
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,,
Geek Love,3.49,EUR
Keep It in the Family,,
"The Well of Ascension (Mistborn, #2)",9.27,EUR
Still Alice,,
"Small Gods (Discworld, #13)",,
"Mary Poppins (Mary Poppins, #1)",,
"Inara (Godfrey Davis, #3)",,
I Am the Messenger,8.99,EUR
"Into the Wild (Warriors, #1)",5.69,EUR
"The Restaurant at the End of the Universe (The Hitchhiker's Guide to the Galaxy, #2)",,
"A Dead and Stormy Night (Nevermore Bookshop Mysteries, #1)",,
"The Passage (The Passage, #1)",,
"Lover Avenged (Black Dagger Brotherhood, #7)",8.44,EUR
Between Shades of Gray,7.99,EUR
"Winter (The Lunar Chronicles, #4)",9.99,EUR
"The Poppy War (The Poppy War, #1)",10.99,EUR
"Mort (Discworld, #4; Death, #1)",8.99,EUR
The Moon Is a Harsh Mistress,,
"Haunting Adeline (Cat and Mouse, #1)",,
"The Lies of Vampires and Slayers (Magic on Main Street, #1)",,
Chasing the Devil: The Search for Africa's Fighting Spirit,14.99,EUR
My Name Is Asher Lev,7.9,EUR
"Fire (Graceling Realm, #2)",5.99,EUR
"From Blood and Ash (Blood and Ash, #1)",8.99,EUR
Dandelion Wine,,
The Omnivore's Dilemma: A Natural History of Four Meals,8.88,EUR
Choke,8.99,EUR
The Portrait of a Lady,,
The White Tiger,,
Living Fearless: Exchanging the Lies of the World for the Liberating Truth of God,14.43,EUR
On Earth We're Briefly Gorgeous,,
No Longer Human,13.43,EUR
Wild Swans: Three Daughters of China,,
Howards End,,
"Finale (Hush, Hush, #4)",,
"The Dark Tower (The Dark Tower, #7)",,
"Worm Holes (Quantum Roots, #2)",,
We Have Always Lived in the Castle,2.04,EUR
The Forgotten Garden,28.67,EUR
A Room of One’s Own,9.57,EUR
"The Hawthorne Legacy (The Inheritance Games, #2)",,
Tender Is the Night,,
"The Hunt for Red October (Jack Ryan, #3)",7.89,EUR
The Long Walk,6.49,EUR
Twenty Years Later,13.89,EUR
"The Eden Paradox (Eden Paradox, #1)",,
The Bridges of Madison County,5.99,EUR
"Heretical Fishing (Heretical Fishing, #1)",,
Deception Point,,
"Linger (The Wolves of Mercy Falls, #2)",,
A Walk in the Woods: Rediscovering America on the Appalachian Trail,,
"The City of Ember (Book of Ember, #1)",7.99,EUR
Turtles All the Way Down,7.99,EUR
Pale Fire,3.74,EUR
"Forrest Gump (Forrest Gump, #1)",8.99,EUR
The Sea of Tranquility,,
Survivor,8.99,EUR
Beach Read,,
"84, Charing Cross Road",,
Exodus,,
Ethan Frome,,
The Sorrows of Young Werther,,
"Iron Flame (The Empyrean, #2)",,
The Very Secret Society of Irregular Witches,7.49,EUR
Gift from the Sea,14.99,EUR
Nausea,,
The Fall,8.99,EUR
The Three Witches and the Master,,
"A Study in Scarlet (Sherlock Holmes, #1)",,
"The Ballad of Songbirds and Snakes (The Hunger Games, #0)",,
"Walking Disaster (Beautiful, #2)",,
Where the Heart Is,8.49,EUR
"Absalom, Absalom!",,
"Daughter of the Forest  (Sevenwaters, #1)",12.73,EUR
"Dead as a Doornail (Sookie Stackhouse, #5)",,
"Kane & Abel (Kane & Abel, #1)",9.99,EUR
The Ruthless Elimination of Hurry: How to Stay Emotionally Healthy and Spiritually Alive in the Chaos of the Modern World,12.84,EUR
The 5 Love Languages: The Secret to Love that Lasts,,
"The Mysterious Benedict Society (The Mysterious Benedict Society, #1)",,
"The Ruins of Gorlan (Ranger's Apprentice, #1)",,
Thus Spoke Zarathustra,9.49,EUR
Revolutionary Road,8.99,EUR
"The Reckoning (Darkest Powers, #3)",16.76,EUR
Heartless,,
Shakespeare's Sonnets,61.43,EUR
"Specials (Uglies, #3)",,
Illusions: The Adventures of a Reluctant Messiah,,
Hello Beautiful,,
"The Awakening (Darkest Powers, #2)",16.76,EUR
Cold Sassy Tree,,
"The Millennium Trilogy (Millennium Trilogy, #1-3)",,
"The Amulet of Samarkand (Bartimaeus, #1)",8.99,EUR
"Definitely Dead (Sookie Stackhouse, #6)",4.49,EUR
"Breaking Dawn (The Twilight Saga, #4)",,
The Hotel New Hampshire,5.91,EUR
The Fountainhead,,
The Brief Wondrous Life of Oscar Wao,10.99,EUR
"Reflected in You (Crossfire, #2)",,
"Guilty Pleasures (Anita Blake, Vampire Hunter, #1)",8.44,EUR
The Gargoyle,11.76,EUR
"Gabriel's Inferno (Gabriel's Inferno, #1)",,
"The Sparrow (The Sparrow, #1)",8.99,EUR
"Hatchet (Brian's Saga, #1)",,
"The Golden Lily (Bloodlines, #2)",9.87,EUR
"Dreamfever (Fever, #4)",,
The Immortal Life of Henrietta Lacks,12.99,EUR
"Crank (Crank, #1)",,
A Connecticut Yankee in King Arthur's Court,0.92,EUR
The Pact,5.69,EUR
A Million Little Pieces,6.49,EUR
Naked Lunch: The Restored Text,,
A Moveable Feast,,
"Opal (Lux, #3)",,
"Burned (House of Night, #7)",5.49,EUR
We,,
The Communist Manifesto,0.74,EUR
The Runaway Jury,,
"Redwall (Redwall, #1)",,
"Onyx (Lux, #2)",15.91,EUR
"Eclipse (The Twilight Saga, #3)",,
"The Winds of War (The Henry Family, #1)",,
The Story of Edgar Sawtelle,11.99,EUR
"The Priory of the Orange Tree (The Roots of Chaos, #1)",,
Christy,,
The Dispossessed: An Ambiguous Utopia,,
Journey to the End of the Night,,
The Complete Persepolis,,
"From Dead to Worse (Sookie Stackhouse, #8)",8.44,EUR
Beach Music,12.99,EUR
"Pandemonium (Delirium, #2)",3.99,EUR
"All Together Dead (Sookie Stackhouse, #7)",8.44,EUR
"New Moon (The Twilight Saga, #2)",42.45,EUR
"The Cheat Code (Wisdom Revolution, #3)",4.99,EUR
Animal Farm / 1984,3.99,EUR
